Model,Primary Key,Created Fields,Description,Relations,Indexes,Fields,Field Types,Constraints,Usage
Patient,id (UUID),createdAt updatedAt,Main patient record containing demographic and sample information,One-to-Many with Report One-to-Many with ShareToken,"id sampleCode",id createdAt updatedAt name gender birthDate sampleCode sampleDate reportDate checkedBy scientificContent disclaimer signature1 signature2,String String String String@unique String String String String String@db.Text String String,"NOT NULL UNIQUE sampleCode","Store patient demographic data and associate with reports"
Report,id (UUID),createdAt updatedAt,Report model containing all report sections and settings,Many-to-One with Patient,"id patientId","id createdAt updatedAt patientId name introduction genomicsExplanation genesHealthImpact fundamentalsPRS utilityDoctors microarrayExplanation microarrayData title subtitle companyName headerColor accentColor primaryFont secondaryFont monoFont nutritionQuote nutritionDescription sportsAndFitness preventiveHealthDescription lifestyleQuote lifestyleDescription metabolicQuote metabolicDescription digestiveQuote digestiveDescription addictionQuote addictionDescription sleepQuote sleepDescription allergyQuote allergyDescription familyQuote familyDescription","String DateTime DateTime String String String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String String String String String String String String String@db.Text String@db.Text Json String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text String@db.Text","NOT NULL NOT NULL Cascade delete","Store comprehensive report data with all sections and configurations"
User,id (UUID),createdAt updatedAt,User account for admin and viewer access,One-to-Many with AuditLog,"id email userIdIndex","id createdAt updatedAt email name passwordHash role isActive lastLogin twoFactorEnabled","String DateTime DateTime String String String String@unique String String Boolean Boolean DateTime Boolean","NOT NULL UNIQUE email","Store user credentials and role-based access control"
ShareToken,id (UUID),createdAt expiresAt,Token for sharing reports with recipients,Many-to-One with Patient Many-to-One with User,"id token patientId","id createdAt expiresAt patientId token recipients password hasPassword isActive createdBy emails","String DateTime DateTime String String String String String Boolean Boolean String Json","NOT NULL UNIQUE token Foreign Key","Enable secure report sharing with time-limited access"
AuditLog,id (UUID),createdAt,Track all system activities and security events,Many-to-One with User,"id userId createdAt action","id createdAt userId action details ipAddress userAgent status","String DateTime String String String@db.Text String String String String","NOT NULL Foreign Key","Maintain audit trail for compliance and security"
ImageUpload,id (UUID),createdAt,Store uploaded image metadata and references,Many-to-One with Request,"id filename patientId","id createdAt updatedAt filename url size mimeType patientId uploadedBy","String DateTime DateTime String String Int String String String","NOT NULL Foreign Key","Track user-uploaded images for reports"
NutritionData,id (UUID),createdAt updatedAt,Nutrition analysis and dietary recommendations,Many-to-One with Report,"id reportId","id createdAt updatedAt reportId calorieIntake macros micros recommendations","String DateTime DateTime String Int Json Json Json","NOT NULL Foreign Key","Store nutritional information and analysis"
GenomeMarker,id (UUID),createdAt,Individual genetic markers and SNPs,Many-to-One with Report,"id reportId gene","id createdAt reportId gene location rsId allele1 allele2 riskAllele effect","String DateTime String String String String String String String String","NOT NULL Foreign Key","Track individual genetic markers"
PathwayData,id (UUID),createdAt,Biological pathways and gene interactions,Many-to-One with Report,"id reportId pathway","id createdAt reportId pathway genes Risk direction impact","String DateTime String String String Json String String","NOT NULL Foreign Key","Store biological pathway information"
HealthRisk,id (UUID),createdAt,Health risk assessment and scoring,Many-to-One with Report,"id reportId riskType","id createdAt reportId riskType category score riskLevel recommendations","String DateTime String String String String Decimal String Json","NOT NULL Foreign Key","Assess and track health risks"
Template,id (UUID),createdAt updatedAt,Report templates for standardized reports,,"id name","id createdAt updatedAt name description templateData category isActive","String DateTime DateTime String String Json String Boolean","NOT NULL","Store reusable report templates"
ReportSection,id (UUID),createdAt,Reportable sections and content blocks,Many-to-One with Report,"id reportId sectionType","id createdAt reportId sectionType title content order customFields","String DateTime String String String String Json Int Json","NOT NULL Foreign Key","Organize report into sections"
PatientNotes,id (UUID),createdAt updatedAt,Doctor notes and observations,Many-to-One with Patient,"id patientId createdBy","id createdAt updatedAt patientId createdBy title content noteType","String DateTime DateTime String String String String String","NOT NULL Foreign Key","Store clinical notes"
Session,id (UUID),createdAt expiresAt,User session tracking,Many-to-One with User,"id userId","id createdAt expiresAt userId sessionToken isActive lastActivity","String DateTime DateTime String String String Boolean DateTime","NOT NULL Foreign Key","Manage user sessions"
ReportShare,id (UUID),createdAt,Track report sharing history,Many-to-One with Report Many-to-One with User,"id reportId sharedWith","id createdAt reportId sharedWith sharedBy expiresAt accessLevel","String DateTime String String String String DateTime String","NOT NULL Foreign Key","Track sharing permissions and history"
ApiKey,id (UUID),createdAt expiresAt,API keys for third-party integrations,Many-to-One with User,"id userId keyValue","id createdAt expiresAt userId keyValue description isActive lastUsed","String DateTime DateTime String String String Boolean DateTime","NOT NULL UNIQUE keyValue Foreign Key","Enable API integrations"
SystemConfig,id (UUID),createdAt updatedAt,System-wide configuration settings,,"id key","id createdAt updatedAt key value description dataType isEditable","String DateTime DateTime String String String String Boolean","NOT NULL UNIQUE key","Store application settings"
